CMDLINE D:\Wrishav\floorOverlay\.venv\Scripts\python.exe .\app.py
MEM 6.707031 1750936401.7153
MEM 6.707031 1750936401.8207
MEM 6.707031 1750936401.9214
MEM 6.707031 1750936402.0219
MEM 6.707031 1750936402.1223
MEM 6.707031 1750936402.2226
MEM 6.707031 1750936402.3230
MEM 6.707031 1750936402.4236
MEM 6.707031 1750936402.5244
MEM 6.707031 1750936402.6252
MEM 6.707031 1750936402.7255
MEM 6.707031 1750936402.8259
MEM 6.707031 1750936402.9264
MEM 6.707031 1750936403.0269
MEM 6.707031 1750936403.1276
MEM 6.707031 1750936403.2280
MEM 6.707031 1750936403.3284
MEM 6.707031 1750936403.4288
MEM 6.707031 1750936403.5294
MEM 6.707031 1750936403.6298
MEM 6.707031 1750936403.7300
MEM 6.707031 1750936403.8305
MEM 6.707031 1750936403.9312
MEM 6.707031 1750936404.0319
MEM 6.707031 1750936404.1324
MEM 6.707031 1750936404.2330
MEM 6.707031 1750936404.3336
MEM 6.707031 1750936404.4343
MEM 6.707031 1750936404.5347
MEM 6.707031 1750936404.6360
MEM 6.707031 1750936404.7368
MEM 6.707031 1750936404.8372
MEM 6.707031 1750936404.9378
MEM 6.707031 1750936405.0381
MEM 6.707031 1750936405.1384
MEM 6.707031 1750936405.2388
MEM 6.707031 1750936405.3394
MEM 6.707031 1750936405.4400
MEM 6.707031 1750936405.5408
MEM 6.707031 1750936405.6412
MEM 6.707031 1750936405.7418
MEM 6.707031 1750936405.8424
MEM 6.707031 1750936405.9431
MEM 6.707031 1750936406.0441
MEM 6.707031 1750936406.1444
MEM 6.707031 1750936406.2451
MEM 6.707031 1750936406.3457
MEM 6.707031 1750936406.4458
MEM 6.707031 1750936406.5464
MEM 6.707031 1750936406.6471
MEM 6.707031 1750936406.7481
MEM 6.707031 1750936406.8488
MEM 6.707031 1750936406.9497
MEM 6.707031 1750936407.0510
MEM 6.707031 1750936407.1516
MEM 6.707031 1750936407.2521
MEM 6.707031 1750936407.3527
MEM 6.707031 1750936407.4531
MEM 6.707031 1750936407.5534
MEM 6.707031 1750936407.6538
MEM 6.707031 1750936407.7545
MEM 6.707031 1750936407.8548
MEM 6.707031 1750936407.9550
MEM 6.707031 1750936408.0557
MEM 6.707031 1750936408.1561
MEM 6.707031 1750936408.2567
MEM 6.707031 1750936408.3573
MEM 6.707031 1750936408.4577
MEM 6.707031 1750936408.5584
MEM 6.707031 1750936408.6587
MEM 6.707031 1750936408.7593
MEM 6.707031 1750936408.8602
MEM 6.707031 1750936408.9607
MEM 6.707031 1750936409.0614
MEM 6.707031 1750936409.1622
MEM 6.707031 1750936409.2627
MEM 6.707031 1750936409.3629
MEM 6.707031 1750936409.4634
MEM 6.707031 1750936409.5640
MEM 6.707031 1750936409.6646
MEM 6.707031 1750936409.7684
MEM 6.707031 1750936409.8702
MEM 6.707031 1750936409.9710
MEM 6.707031 1750936410.0716
MEM 6.707031 1750936410.1718
MEM 6.707031 1750936410.2721
MEM 6.707031 1750936410.3725
MEM 6.707031 1750936410.4736
MEM 6.707031 1750936410.5740
MEM 6.707031 1750936410.6746
MEM 6.707031 1750936410.7750
MEM 6.707031 1750936410.8756
MEM 6.707031 1750936410.9759
MEM 6.707031 1750936411.0766
MEM 6.707031 1750936411.1770
MEM 6.707031 1750936411.2777
MEM 6.707031 1750936411.3782
MEM 6.707031 1750936411.4787
MEM 6.707031 1750936411.5792
MEM 6.707031 1750936411.6794
MEM 6.707031 1750936411.7799
MEM 6.707031 1750936411.8806
MEM 6.707031 1750936411.9810
MEM 6.707031 1750936412.0814
MEM 6.707031 1750936412.1817
MEM 6.707031 1750936412.2825
MEM 6.707031 1750936412.3831
MEM 6.707031 1750936412.4836
MEM 6.707031 1750936412.5841
MEM 6.707031 1750936412.6848
MEM 6.707031 1750936412.7855
MEM 6.707031 1750936412.8859
MEM 6.707031 1750936412.9862
MEM 6.707031 1750936413.0867
MEM 6.707031 1750936413.1872
MEM 6.707031 1750936413.2880
MEM 6.707031 1750936413.3885
MEM 6.707031 1750936413.4890
MEM 6.707031 1750936413.5893
MEM 6.707031 1750936413.6898
MEM 6.707031 1750936413.7900
MEM 6.707031 1750936413.8902
MEM 6.707031 1750936413.9905
MEM 6.707031 1750936414.0909
MEM 6.707031 1750936414.1913
MEM 6.707031 1750936414.2920
MEM 6.707031 1750936414.3923
MEM 6.707031 1750936414.4929
MEM 6.707031 1750936414.5937
MEM 6.707031 1750936414.6940
MEM 6.707031 1750936414.7947
MEM 6.707031 1750936414.8952
MEM 6.707031 1750936414.9957
MEM 6.707031 1750936415.0963
MEM 6.707031 1750936415.1967
MEM 6.707031 1750936415.2972
MEM 6.707031 1750936415.3976
MEM 6.707031 1750936415.4983
MEM 6.707031 1750936415.5991
MEM 6.707031 1750936415.6994
MEM 6.707031 1750936415.7999
MEM 6.707031 1750936415.9005
MEM 6.707031 1750936416.0010
MEM 6.707031 1750936416.1018
MEM 6.707031 1750936416.2023
MEM 6.707031 1750936416.3027
MEM 6.707031 1750936416.4035
MEM 6.707031 1750936416.5037
MEM 6.707031 1750936416.6044
MEM 6.707031 1750936416.7051
MEM 6.707031 1750936416.8056
MEM 6.707031 1750936416.9059
MEM 6.707031 1750936417.0065
MEM 6.707031 1750936417.1070
MEM 6.707031 1750936417.2073
MEM 6.707031 1750936417.3078
MEM 6.707031 1750936417.4085
MEM 6.707031 1750936417.5088
MEM 6.707031 1750936417.6095
MEM 6.707031 1750936417.7102
MEM 6.707031 1750936417.8110
MEM 6.707031 1750936417.9124
MEM 6.707031 1750936418.0135
MEM 6.707031 1750936418.1142
MEM 6.707031 1750936418.2150
MEM 6.707031 1750936418.3160
MEM 6.707031 1750936418.4165
MEM 6.707031 1750936418.5171
MEM 6.707031 1750936418.6178
MEM 6.707031 1750936418.7186
MEM 6.707031 1750936418.8194
MEM 6.707031 1750936418.9207
MEM 6.707031 1750936419.0214
MEM 6.707031 1750936419.1224
MEM 6.707031 1750936419.2231
MEM 6.707031 1750936419.3239
MEM 6.707031 1750936419.4250
MEM 6.707031 1750936419.5262
MEM 6.707031 1750936419.6272
MEM 6.707031 1750936419.7279
MEM 6.707031 1750936419.8283
MEM 6.707031 1750936419.9289
MEM 6.707031 1750936420.0295
MEM 6.707031 1750936420.1300
MEM 6.707031 1750936420.2307
MEM 6.707031 1750936420.3311
MEM 6.707031 1750936420.4323
MEM 6.707031 1750936420.5328
MEM 6.707031 1750936420.6333
MEM 6.707031 1750936420.7339
MEM 6.707031 1750936420.8342
MEM 6.707031 1750936420.9349
MEM 6.707031 1750936421.0357
MEM 6.707031 1750936421.1362
MEM 6.707031 1750936421.2371
